"Country4","Hemisphere","Prevalence","Country_cfr","Country_prev","Region","Latitude","Population","Cases_31MR","Deaths_31MR","Cases_30JN","Deaths_30JN","Cases_30S","Deaths_30S","GDP_PC","EDR","Density","vitd","Jan","Feb","Mar","Apr","May","June","July","Aug","Sept"
"Canada","N",2813,"Canada (8.2)","Canada (2813)","North America",45.61112857,"37710897",8527,101,106097,8650,161107,9346,"42322.48",23.9,"4.08",86.1,81.98888889,116.4111111,167.6,211.3333333,235.8222222,252.0555556,281.9333333,247.2888889,167.8333333
"Central African Republic","N",803,"Central African Republic (1.3)","Central African Republic (803)","Sub-Saharan Africa",6.6111,"4,666,368",3,0,3745,47,4829,62,"402.19",81,"7.49",NA,253.3,235.5,228.3,214.05,220.85,198.45,157.35,155.25,180
"Chad","N",53,"Chad (8.5)","Chad (53)","Sub-Saharan Africa",15.4542,"16376161",7,0,866,74,1200,85,"693.45",91.1,"12.29",NA,306.9,284.2,291.4,286.5,299.15,279,234.05,213.9,244.5
"Chile","S",14627,"Chile (2)","Chile (14627)","Latin America & Caribbean",-35.6751,"19100718",2844,12,279393,5688,462991,12741,"13753.59",28.1,"25.19",75.4,326.74,281.04,269.24,215.8,178.5,156.6,170.88,188.64,206.8
"China","N",59,"China (5.5)","China (59)","East Asia & Pacific",32.88764545,"1439323776",82279,3309,84785,4641,90545,4739,"8147.94",25.2,"148.35",56.16,135.94,121.0333333,138.8,159.1466667,187.0466667,182.3333333,219.8466667,214.0933333,186.76
"Colombia","N",1925,"Colombia (3.4)","Colombia (1925)","Latin America & Caribbean",4.5709,"50831115",906,16,97846,3334,829679,25998,"5870.78",32.3,"44.76",73.1,199.375,169.45,167.175,141.475,139,153.525,181.025,172.925,146.45
"Congo","S",197,"Congo (3.4)","Congo (197)","Sub-Saharan Africa",-0.228,"5,504,079",19,0,1087,37,5089,89,"471.32",90,"37.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dem. Rep. Congo","S",1279,"Dem. Rep. Congo (2.4)","Dem. Rep. Congo (1279)","Sub-Saharan Africa",-4.0383,"5,504,079",98,8,7039,170,10659,272,"2074.97",NA,"15.36",NA,126.5,130,164.5,192,223,207.5,219.5,236.5,207
"Costa Rica","N",680,"Costa Rica (0.5)","Costa Rica (680)","Latin America & Caribbean",9.7489,"5089715",347,2,3459,16,75760,904,"11666.46",30.2,"97.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Côte d'Ivoire","N",361,"Cote d'Ivoire (0.7)","Cote d'Ivoire (361)","Sub-Saharan Africa",7.54,"26310853",179,1,9499,68,19724,120,"2013.38",74.6,"78.83",77.4,233.8,219.24,224.86,207.94,218.76,166.76,140.9,122.5,144.48
